Year,Month,Day,Period,Value
2023,2,3,22,15940.86667
2023,2,3,23,15471.12419
2023,2,3,24,15312.56758
2023,2,4,1,14676.11839
2023,2,4,2,13901.8583
2023,2,4,3,13148.34395
2023,2,4,4,12565.2409
2023,2,4,5,12247.38676
2023,2,4,6,12156.99467
2023,2,4,7,12088.08923
2023,2,4,8,12281.46902
2023,2,4,9,12954.22324
2023,2,4,10,14133.76587
2023,2,4,11,14737.61464
2023,2,4,12,15595.59854
2023,2,4,13,15786.01466
2023,2,4,14,15781.56915
2023,2,4,15,15523.72942
2023,2,4,16,15334.05423
2023,2,4,17,15455.5649
2023,2,4,18,15474.82879
2023,2,4,19,15393.32773
2023,2,4,20,15639.31275
2023,2,4,21,16071.26837
2023,2,4,22,15705.25452
2023,2,4,23,15471.86511
2023,2,4,24,15116.96504
2023,2,5,1,14505.70708
2023,2,5,2,13857.40318
2023,2,5,3,13087.58861
2023,2,5,4,12428.17093
2023,2,5,5,12053.26605
2023,2,5,6,11870.25912
2023,2,5,7,11742.8211
2023,2,5,8,11996.95623
2023,2,5,9,12737.87496
2023,2,5,10,13770.71569
2023,2,5,11,14824.30213
2023,2,5,12,15562.99812
2023,2,5,13,15662.28123
2023,2,5,14,15331.83147
2023,2,5,15,15042.87316
2023,2,5,16,14962.85394
2023,2,5,17,15084.36461
2023,2,5,18,15357.02271
2023,2,5,19,15557.81169
2023,2,5,20,15803.79671
2023,2,5,21,16337.99912
2023,2,5,22,16067.56378
2023,2,5,23,15723.77748
2023,2,5,24,15454.82398
2023,2,6,1,14992.49069
2023,2,6,2,14321.21831
2023,2,6,3,13789.97957
2023,2,6,4,12989.78734
2023,2,6,5,12631.92359
2023,2,6,6,12369.63835
2023,2,6,7,12399.2751
2023,2,6,8,12446.6939
2023,2,6,9,12628.95991
2023,2,6,10,13081.66126
2023,2,6,11,13733.66975
2023,2,6,12,14923.58525
2023,2,6,13,15341.46341
2023,2,6,14,15512.61564
2023,2,6,15,15399.25508
2023,2,6,16,15319.23585
2023,2,6,17,15247.36673
2023,2,6,18,15292.56278
2023,2,6,19,15399.996
2023,2,6,20,15608.19416
2023,2,6,21,16193.51996
2023,2,6,22,15981.61721
2023,2,6,23,15615.60335
2023,2,6,24,15368.87741
2023,2,7,1,14738.35556
2023,2,7,2,14144.13873
2023,2,7,3,13633.64572
2023,2,7,4,12980.15539
2023,2,7,5,12706.75638
2023,2,7,6,12465.21687
2023,2,7,7,12416.31623
2023,2,7,8,12431.87553
2023,2,7,9,12857.9038
2023,2,7,10,12977.19172
2023,2,7,11,13613.64091
2023,2,7,12,14599.80376
2023,2,7,13,15393.32773
2023,2,7,14,15619.30794
2023,2,7,15,15615.60335
2023,2,7,16,15708.21819
2023,2,7,17,15468.16052
2023,2,7,18,15589.67119
2023,2,7,19,15478.53338
2023,2,7,20,15837.87897
2023,2,7,21,16326.88534
2023,2,7,22,16235.01141
2023,2,7,23,16182.40618
2023,2,7,24,15863.07021
2023,2,8,1,15329.60871
2023,2,8,2,14591.65365
2023,2,8,3,13897.41279
2023,2,8,4,13239.47695
2023,2,8,5,12787.51652
2023,2,8,6,12584.50479
2023,2,8,7,12823.08062
2023,2,8,8,12893.4679
2023,2,8,9,13609.1954
2023,2,8,10,14784.29252
2023,2,8,11,15871.22031
2023,2,8,12,16869.23785
2023,2,8,13,17182.64648
2023,2,8,14,17292.30246
2023,2,8,15,17145.60054
2023,2,8,16,17270.07489
